,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
mean_test_score,0.6597075336205771,0.7329616382288581,0.7034366418314685,0.7014778325123152,0.691854697103453,0.686470495847507,0.6959545278546956,0.6851330203442879,0.7046701446701448,0.6879310344827586,0.7215540438245845,0.7249876149481352,0.714381754635992,0.7136644880736549,0.7221404423838501,0.7276736949062254,0.733815390958248,0.7378926593936735,0.7259652225169466,0.7259652225169466,0.7280359820089953,0.7202645841481603,0.7051407714836563,0.6990801654230503,0.6848430251162848,0.6848430251162848,0.696367977881111,0.6981949871888465,0.6910518053375196,0.7011357346927817,0.6950427350427351,0.7000095571524142,0.7099325030359513,0.7043994365422938,0.6919317313298997,0.6917409191337648,0.690711071552193,0.6877482936542125
std_test_score,0.05344286749096591,0.05687669279396447,0.04711352371354197,0.05316993923471302,0.05948578033118855,0.08267788782044584,0.1011787733057645,0.07814829422070871,0.05680629970184067,0.0939240434316523,0.09565667085341852,0.09818173203614565,0.1040241618176815,0.10310912245511764,0.0964961664158324,0.10130830160417921,0.10385300656534269,0.1113555528617364,0.12105150143700565,0.12105150143700565,0.12589704512621408,0.13782694357825706,0.12871362446772347,0.1371008216923869,0.1535825218163619,0.1535825218163619,0.13211530580282912,0.12607052784463402,0.11994598375067977,0.11612780558248646,0.12152052889339444,0.11564758962302055,0.1198442090087223,0.11608334935124726,0.13527128537837055,0.13431088274270347,0.13275039154958443,0.14030892425994465
split0_test_score,0.7333333333333334,0.7464788732394365,0.6845637583892616,0.6758620689655173,0.6423357664233575,0.5937500000000001,0.578125,0.6000000000000001,0.6507936507936508,0.5882352941176471,0.6229508196721311,0.6115702479338844,0.5932203389830508,0.5932203389830508,0.6050420168067228,0.6050420168067228,0.6,0.5882352941176471,0.5641025641025642,0.5641025641025642,0.5565217391304348,0.5309734513274336,0.5272727272727273,0.509090909090909,0.4716981132075472,0.4716981132075472,0.5137614678899083,0.5272727272727273,0.5272727272727273,0.5405405405405405,0.5272727272727273,0.5405405405405405,0.5454545454545455,0.5454545454545455,0.5046728971962617,0.5046728971962617,0.5046728971962617,0.49056603773584906
split1_test_score,0.6376811594202898,0.7948717948717949,0.7682119205298014,0.7755102040816326,0.7755102040816326,0.7945205479452054,0.8251748251748252,0.7887323943661971,0.7832167832167832,0.8137931034482757,0.851063829787234,0.851063829787234,0.8472222222222223,0.8450704225352113,0.8413793103448277,0.853146853146853,0.853146853146853,0.8551724137931034,0.8551724137931034,0.8551724137931034,0.8551724137931034,0.8551724137931034,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.821917808219178,0.8275862068965517,0.8111888111888113,0.8111888111888113,0.8111888111888113,0.8111888111888113,0.8275862068965517,0.8194444444444444,0.8194444444444444,0.8137931034482757,0.8055555555555556,0.8055555555555556
split2_test_score,0.6081081081081081,0.6575342465753424,0.6575342465753424,0.6530612244897959,0.6577181208053692,0.6711409395973154,0.6845637583892616,0.6666666666666666,0.68,0.6617647058823529,0.6906474820143885,0.7123287671232876,0.7027027027027026,0.7027027027027026,0.72,0.7248322147651006,0.7482993197278911,0.7702702702702703,0.7586206896551724,0.7586206896551724,0.7724137931034482,0.7746478873239437,0.7605633802816901,0.7605633802816901,0.7552447552447553,0.7552447552447553,0.7534246575342466,0.7397260273972603,0.7346938775510203,0.7516778523489933,0.7466666666666666,0.7482993197278911,0.7567567567567568,0.7482993197278911,0.7516778523489933,0.7567567567567568,0.7619047619047619,0.767123287671233
